Ticker,Shares
ABBV,102.99063580600577
EXE.TO,1594.5517089863406
AMZN,130.23243408174437
LOW,125.25902742776255
RY.TO,633.6241804526843
TD,1167.7772500312396
SHOP,537.7102618150047
SHOP.TO,533.9708775360884
GOOG,85.45879360282804
CMCSA,1024.9931825947033
COST,25.669027429559506
SAP.TO,827.266748250425
SLB,2460.809361921422
SO,297.86718375589334
SPG,125.8639251656833
